13005.600000 1.947887 5.992388 2.525501 18.952445 26.422415 20.698258 24.524244 30.622855  3.65727 1.62708 2.78865
13005.800000 1.946983 5.965930 2.544261 19.159445 26.849391 20.522445 24.683930 30.391246  3.53737 2.03707 2.71026
13006.000000 1.967888 5.918492 2.438741 18.814983 26.300376 20.502888 25.658517 30.486790  3.42382 1.75912 3.12756
13006.200000 1.966721 5.953445 2.414322 18.792854 26.409737 20.385737 25.624966 30.063728  3.27462 1.71799 2.39546
13006.400000 1.965514 5.993166 2.538009 18.887747 26.875776 20.526138 25.041471 30.368233  2.96761 2.65244 2.47512
13006.600000 1.963545 5.836694 2.563431 18.775698 26.625831 20.386356 24.487025 30.814772  3.08867 2.01488 3.14376
13006.800000 1.966556 5.742210 2.453881 19.020761 26.276790 20.435854 24.127125 30.707342  3.40030 1.10426 2.45105
13007.000000 1.970928 5.916612 2.447010 19.058736 26.657161 20.660933 24.708049 30.405223  3.41324 1.52458 2.34226
13007.200000 1.943953 5.990252 2.606824 18.217280 26.664537 19.885153 25.099760 30.301247  2.88902 1.46975 2.13644
13007.400000 1.910306 5.974177 2.712640 18.345050 26.315047 19.963904 25.537136 29.416904  3.26577 1.22952 1.89279
13007.600000 1.947453 5.923848 2.575854 18.605509 26.745160 20.345244 25.329880 28.288747  3.13008 1.41671 2.42948
13007.800000 1.975784 5.717085 2.379263 18.708482 27.085649 20.664710 25.663243 27.796600  3.23550 1.73431 2.27174
13008.000000 1.962080 5.894082 2.526623 18.535501 26.793413 20.506664 25.644662 28.185939  2.34196 1.85436 2.40093
13008.200000 1.973266 5.843627 2.385760 18.287378 26.494367 20.329304 26.134293 28.355643  2.57681 1.76632 1.88577
13008.400000 1.955829 5.895045 2.539233 17.862191 26.733745 20.013248 25.179872 29.551716  2.53105 1.66182 2.29355
13008.600000 1.958800 5.860495 2.504002 17.965232 26.753231 19.962009 25.104436 29.997700  2.66067 2.12879 0.94944
13008.800000 1.956879 5.848968 2.477155 17.691197 26.443844 19.776022 25.338755 30.086208  2.79664 2.31638 1.34142
13009.000000 1.946560 5.869893 2.553851 17.797344 26.644568 20.083611 25.354464 29.762066  2.94543 3.11074 1.81101
13009.200000 1.961303 5.921248 2.346482 17.874671 26.137171 19.940101 24.826606 30.783354  3.06817 1.18494 2.11941
13009.400000 1.971101 5.815357 2.256209 18.462932 26.605910 20.363857 25.231944 30.527264  2.88337 2.06645 1.75500
13009.600000 1.971572 5.873374 2.342891 18.572862 26.366599 20.662318 25.932787 30.325182  3.08915 1.69854 2.71177
13009.800000 1.968461 5.863601 2.419774 18.363440 26.140455 20.578585 26.292549 29.969769  3.06702 1.72092 1.47301
13010.000000 1.974061 5.935230 2.386323 18.084907 26.336269 20.277860 26.073619 30.584309  3.64801 1.66608 1.79075
13010.200000 1.962819 5.895306 2.379439 17.761908 26.377629 20.019191 26.246777 30.659789  3.17328 1.70767 1.57111
13010.400000 1.964933 5.951200 2.489719 17.969450 26.482219 20.178150 25.920624 29.970317  3.18233 2.36392 1.28146
13010.600000 1.963491 5.867762 2.430064 18.014975 26.695631 20.195165 25.592118 30.732704  2.60792 1.89598 1.83067
13010.800000 1.978378 5.806608 2.323251 17.806442 26.299405 19.900677 26.051228 31.040805  2.67130 2.14240 1.35540
13011.000000 1.961635 5.939515 2.345876 17.969293 26.132145 20.168318 26.494652 30.995994  2.94475 2.27718 2.11063
13011.200000 1.970528 5.845699 2.398065 18.260120 26.054750 20.512968 26.263501 30.585785  2.76666 2.04689 2.45700
13011.400000 1.971482 5.880917 2.415777 18.228435 25.702797 20.426796 26.148432 30.555019  3.01392 1.34636 1.72769
13011.600000 1.969471 5.852013 2.337932 18.653101 25.926849 20.730144 26.622296 29.973861  2.53351 1.16870 2.05786
