 3.200000 0.000000 7.888197 28.113893 20.335262 7.706013 20.233704 27.448151 17.252080     15.44003 14.41572 16.16517
 3.400000 0.000000 7.832597 27.442399 20.427148 7.914991 20.663489 26.124220 17.444012     14.21232 13.31084 15.60845
 3.600000 0.000000 7.606855 26.695614 20.185985 8.063640 21.071558 25.340871 17.496444     12.65373 13.65850 16.29407
 3.800000 0.000000 7.328827 26.281268 19.801843 8.461966 21.335820 25.534511 17.139622     12.11435 12.87170 15.36282
 4.000000 0.000000 7.764773 26.621964 20.212800 8.671621 20.620132 25.834765 17.431354     14.42708 12.10611 14.66917
 4.200000 0.000000 7.943745 27.002785 21.019943 8.913342 20.152738 25.703666 17.928790     13.26758 12.01745 14.38206
 4.400000 0.000000 7.866491 27.606895 21.726130 8.766744 19.673438 25.128730 18.787742     11.11112 11.91381 12.42498
 4.600000 0.000000 7.805840 28.806043 21.761763 8.446120 18.370035 26.380521 18.935351     12.42485 14.74020 14.63513
 4.800000 0.000000 7.846033 28.979206 21.521510 8.385250 18.194712 26.217997 19.148201     11.23162 13.09828 14.50102
 5.000000 0.000000 7.787578 28.294471 21.559301 8.664358 19.579137 25.577752 19.489267     12.75407 12.43685 14.29411
 5.200000 0.000000 7.786990 26.793367 21.175430 8.666167 20.810137 24.671036 19.187384     15.18102 15.27287 12.70412
 5.400000 0.000000 7.792252 25.967894 21.811391 9.043819 21.242597 23.571717 19.325223     15.03037 14.97940 12.53278
 5.600000 0.000000 7.687782 25.860040 22.073553 9.427149 20.126001 23.299790 19.820422     14.93404 14.94346 14.00359
 5.800000 0.000000 6.999407 25.909174 22.038870 10.013736 19.624748 23.862681 19.884812    14.89570 13.77801 13.96568
 6.000000 0.000000 7.001555 26.342269 22.438039 10.244995 19.709610 23.459804 20.609843    15.21160 14.65389 14.43641
 6.200000 0.000000 6.922115 27.540319 22.692743 10.318526 18.787677 24.617135 21.213918    14.86967 12.87098 13.89731
 6.400000 0.000000 7.278772 27.704135 21.979015 9.995345 18.551807 25.211350 20.398008     15.55997 13.17602 14.67682
 6.600000 0.000000 7.489127 27.442016 22.055295 9.703916 18.908453 25.437144 20.373225     13.84837 14.34613 14.88243
 6.800000 0.000000 7.853460 26.949608 21.836251 9.397488 19.144179 24.610058 20.319174     16.11723 14.55781 15.13308
 7.000000 0.000000 7.787904 27.935571 22.242447 9.835471 18.363557 25.754871 20.786751     13.65541 15.17168 14.55943
 7.200000 0.000000 7.898224 27.955711 22.331976 9.869824 17.692752 26.001445 20.850104     12.13230 12.98559 12.65101
 7.400000 0.000000 7.863726 28.433051 22.269284 10.412452 16.703941 26.503694 21.310798    12.81624 12.73016 12.93044
 7.600000 0.000000 7.842075 28.359341 22.220867 10.298559 16.664597 26.872807 21.494080    13.18719 13.14654 14.60140
 7.800000 0.000000 7.843298 27.522878 22.184069 9.166334 17.745150 26.297678 21.281850     12.31873 14.39830 14.93729
