7008.600000 5.867337 2.023386 2.647409 2.438434 2.553047 4.945638 3.510864 3.693382      2.24417 1.86260 0.53590
7008.800000 5.847975 2.036202 2.614648 2.517090 2.373629 4.967516 3.747632 3.524745      1.91293 2.10027 1.25742
7009.000000 5.913706 1.941025 2.388390 2.477432 2.569904 4.647185 3.930871 3.651022      2.01828 1.62032 1.40154
7009.200000 5.910687 1.922695 2.490598 2.409184 2.422269 4.658261 3.690112 3.686453      1.89774 1.71196 1.10105
7009.400000 5.910895 1.935868 2.385519 2.490386 2.369501 4.686610 3.537212 3.710594      1.82353 1.96295 1.30625
7009.600000 5.896705 2.002570 2.425563 2.492804 2.504186 4.760727 3.747569 3.551376      2.19641 1.65382 1.35933
7009.800000 5.912061 1.970241 2.354053 2.381830 2.513006 4.552050 3.620143 3.630220      1.90358 2.38820 0.73956
7010.000000 5.877185 1.989036 2.327527 2.519180 2.554190 4.751730 3.658830 3.584356      1.75256 2.30609 1.00571
7010.200000 5.875534 2.022941 2.403951 2.472158 2.629440 4.755123 3.644904 3.584986      1.83660 2.37943 1.28011
7010.400000 5.896334 2.001439 2.361050 2.531254 2.465267 4.750295 3.694921 3.623115      2.01324 1.73931 1.48016
7010.600000 5.904733 1.997911 2.306762 2.478572 2.507037 4.587301 3.675117 3.657595      2.46873 1.98004 1.38450
7010.800000 5.908994 1.962064 2.330247 2.424121 2.429332 4.513261 3.521200 3.585067      2.36322 1.51018 1.31343
7011.000000 5.896989 1.977206 2.448422 2.493240 2.490020 4.829821 3.640471 3.583998      1.83790 1.70159 1.48161
7011.200000 5.900891 1.998995 2.476194 2.370550 2.435963 4.614707 3.582827 3.663785      2.51669 1.80593 1.38430
7011.400000 5.875899 1.994241 2.615296 2.169106 2.520123 4.632636 3.714830 3.678363      1.72700 1.92903 0.95558
7011.600000 5.901771 1.996694 2.647724 2.242630 2.516307 4.662877 3.832240 3.549016      2.19801 1.85255 1.66849
7011.800000 5.891575 2.002451 2.616351 2.458957 2.494150 4.808671 3.770310 3.921056      2.04383 1.96209 1.53721
7012.000000 5.902666 2.005824 2.551799 2.460303 2.416828 4.792442 3.566714 3.708802      1.92590 1.66079 1.08155
7012.200000 5.895994 2.007411 2.472016 2.526847 2.391027 4.823174 3.732900 3.593873      2.41540 1.74670 0.72606
7012.400000 5.891089 2.007271 2.484467 2.418811 2.463174 4.697890 3.658437 3.700513      1.89499 1.91108 0.88778
7012.600000 5.909318 1.914781 2.404097 2.495944 2.264406 4.793950 3.625992 3.489163      1.77830 1.96456 0.83465
7012.800000 5.882193 1.996459 2.505447 2.478078 2.600025 4.843406 3.655960 3.716419      2.00697 1.85999 1.03538
7013.000000 5.891937 2.020303 2.429585 2.523470 2.571930 4.738488 3.723100 3.708765      2.31429 1.59580 0.88626
7013.200000 5.905757 2.020300 2.483300 2.465290 2.441253 4.783920 3.713181 3.507716      2.65070 1.94431 1.14067
7013.400000 5.897263 1.991210 2.537180 2.291465 2.528571 4.626593 3.832855 3.406250      2.03876 1.55392 1.05688
7013.600000 5.895986 2.001781 2.530241 2.505130 2.437791 4.795408 3.740731 3.774496      1.81975 1.36815 0.75803
7013.800000 5.879641 2.018637 2.431466 2.563716 2.482310 4.759715 3.573646 3.522239      2.13664 1.29137 0.44558
7014.000000 5.888607 1.976109 2.510769 2.466408 2.431746 4.725019 3.576411 3.751441      2.31126 1.36507 0.86045
7014.200000 5.889084 1.885335 2.577788 2.535267 2.314619 4.836301 3.864594 3.601415      1.62304 2.03248 0.79973
7014.400000 5.888696 1.979532 2.506245 2.439501 2.420813 4.714075 3.742552 3.742593      2.70880 2.14070 0.82308
7014.600000 5.886832 1.949370 2.374242 2.588117 2.516529 4.644580 3.629486 3.685001      2.17880 1.32971 0.49885
